,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
0,2020,2,U,관광특구,1001495,잠실 관광특구,22,89,527347107
1,2020,1,U,관광특구,1001495,잠실 관광특구,22,89,527347107
2,2020,2,U,관광특구,1001494,종로?청계 관광특구,5,39,112097903
3,2020,1,U,관광특구,1001494,종로?청계 관광특구,5,39,112097903
4,2020,2,U,관광특구,1001493,동대문패션타운 관광특구,8,53,237967427
5,2020,1,U,관광특구,1001493,동대문패션타운 관광특구,8,53,237967427
6,2020,2,U,관광특구,1001491,이태원 관광특구,71,82,409473123
7,2020,1,U,관광특구,1001491,이태원 관광특구,71,82,409473123
8,2020,2,R,전통시장,1001490,길동복조리시장,37,62,183067389
9,2020,1,R,전통시장,1001490,길동복조리시장,37,62,183067389
10,2020,2,R,전통시장,1001489,둔촌역전통시장,8,63,195748977
11,2020,1,R,전통시장,1001489,둔촌역전통시장,8,63,195748977
12,2020,2,R,전통시장,1001488,성내골목시장,11,44,148468044
13,2020,1,R,전통시장,1001488,성내골목시장,11,44,148468044
14,2020,2,R,전통시장,1001486,동서울시장,1,45,176000000
15,2020,1,R,전통시장,1001486,동서울시장,1,45,176000000
16,2020,2,R,전통시장,1001485,고분다리골목시장,2,46,156107143
17,2020,1,R,전통시장,1001485,고분다리골목시장,2,46,156107143
18,2020,2,R,전통시장,1001484,양지골목시장,17,55,181813715
19,2020,1,R,전통시장,1001484,양지골목시장,17,55,181813715
20,2020,2,R,전통시장,1001483,암사종합시장,18,46,143664435
21,2020,1,R,전통시장,1001483,암사종합시장,18,46,143664435
22,2020,2,R,전통시장,1001482,고덕전통시장,1,41,155000000
23,2020,1,R,전통시장,1001482,고덕전통시장,1,41,155000000
24,2020,2,R,전통시장,1001481,명일골목시장,4,61,223508784
25,2020,1,R,전통시장,1001481,명일골목시장,4,61,223508784
26,2020,2,R,전통시장,1001480,새마을시장,44,40,209797797
27,2020,1,R,전통시장,1001480,새마을시장,44,40,209797797
28,2020,2,R,전통시장,1001479,석촌시장,13,43,233575425
29,2020,1,R,전통시장,1001479,석촌시장,13,43,233575425
30,2020,2,R,전통시장,1001478,방이시장,174,49,205632867
31,2020,1,R,전통시장,1001478,방이시장,174,49,205632867
32,2020,2,R,전통시장,1001477,마천시장,6,57,195932239
33,2020,1,R,전통시장,1001477,마천시장,6,57,195932239
34,2020,2,R,전통시장,1001476,풍납시장,20,55,153329405
35,2020,1,R,전통시장,1001476,풍납시장,20,55,153329405
36,2020,2,R,전통시장,1001474,도곡시장,1,67,639223684
37,2020,1,R,전통시장,1001474,도곡시장,1,67,639223684
38,2020,2,R,전통시장,1001472,논현종합시장,3,115,512515152
39,2020,1,R,전통시장,1001472,논현종합시장,3,115,512515152
40,2020,2,R,전통시장,1001471,영동전통시장,18,43,226552606
41,2020,1,R,전통시장,1001471,영동전통시장,18,43,226552606
42,2020,2,R,전통시장,1001470,강남시장_강남,1,95,359478723
43,2020,1,R,전통시장,1001470,강남시장_강남,1,95,359478723
44,2020,2,R,전통시장,1001469,양재시장,2,42,185226190
45,2020,1,R,전통시장,1001469,양재시장,2,42,185226190
46,2020,2,R,전통시장,1001468,남부종합시장,3,53,299250000
47,2020,1,R,전통시장,1001468,남부종합시장,3,53,299250000
48,2020,2,R,전통시장,1001466,미성동도깨비시장,3,66,179668193
49,2020,1,R,전통시장,1001466,미성동도깨비시장,3,66,179668193
50,2020,2,R,전통시장,1001463,신림중앙시장,3,42,184383476
51,2020,1,R,전통시장,1001463,신림중앙시장,3,42,184383476
52,2020,2,R,전통시장,1001462,강남골목시장,5,46,145078889
53,2020,1,R,전통시장,1001462,강남골목시장,5,46,145078889
54,2020,2,R,전통시장,1001460,관악신사시장,25,53,170190594
55,2020,1,R,전통시장,1001460,관악신사시장,25,53,170190594
56,2020,2,R,전통시장,1001459,신원시장,4,50,164801389
57,2020,1,R,전통시장,1001459,신원시장,4,50,164801389
58,2020,2,R,전통시장,1001458,인헌시장,10,59,154501044
59,2020,1,R,전통시장,1001458,인헌시장,10,59,154501044
60,2020,2,R,전통시장,1001457,봉천중앙시장,4,51,177340278
61,2020,1,R,전통시장,1001457,봉천중앙시장,4,51,177340278
62,2020,2,R,전통시장,1001454,봉천제일종합시장,2,30,168357143
63,2020,1,R,전통시장,1001454,봉천제일종합시장,2,30,168357143
64,2020,2,R,전통시장,1001453,낙성대시장,6,37,123503739
65,2020,1,R,전통시장,1001453,낙성대시장,6,37,123503739
66,2020,2,R,전통시장,1001452,중부시장,4,51,187520635
67,2020,1,R,전통시장,1001452,중부시장,4,51,187520635
68,2020,2,R,전통시장,1001450,남성역골목시장,4,57,178875000
69,2020,1,R,전통시장,1001450,남성역골목시장,4,57,178875000
70,2020,2,R,전통시장,1001449,남성사계시장,1,29,137875000
71,2020,1,R,전통시장,1001449,남성사계시장,1,29,137875000
72,2020,2,R,전통시장,1001448,흑석시장,2,92,416694996
73,2020,1,R,전통시장,1001448,흑석시장,2,92,416694996
74,2020,2,R,전통시장,1001447,상도4동도깨비골목시장,17,54,155765640
75,2020,1,R,전통시장,1001447,상도4동도깨비골목시장,17,54,155765640
76,2020,2,R,전통시장,1001446,성대시장,2,34,160357143
77,2020,1,R,전통시장,1001446,성대시장,2,34,160357143
78,2020,2,R,전통시장,1001444,상도전통시장,18,56,181107554
79,2020,1,R,전통시장,1001444,상도전통시장,18,56,181107554
80,2020,2,R,전통시장,1001443,강남시장_동작,1,49,71085714
81,2020,1,R,전통시장,1001443,강남시장_동작,1,49,71085714
82,2020,2,R,전통시장,1001441,본동인정시장,1,86,525000000
83,2020,1,R,전통시장,1001441,본동인정시장,1,86,525000000
84,2020,2,R,전통시장,1001440,노량진중앙시장,1,147,299142857
85,2020,1,R,전통시장,1001440,노량진중앙시장,1,147,299142857
86,2020,2,R,전통시장,1001439,대림중앙시장,3,54,121966667
87,2020,1,R,전통시장,1001439,대림중앙시장,3,54,121966667
88,2020,2,R,전통시장,1001437,영진시장A동,1,88,585308360
89,2020,1,R,전통시장,1001437,영진시장A동,1,88,585308360
90,2020,2,R,전통시장,1001435,대신시장,1,91,178866546
91,2020,1,R,전통시장,1001435,대신시장,1,91,178866546
92,2020,2,R,전통시장,1001433,영일시장,3,54,264567730
93,2020,1,R,전통시장,1001433,영일시장,3,54,264567730
94,2020,2,R,전통시장,1001431,영등포청과시장,3,29,183000000
95,2020,1,R,전통시장,1001431,영등포청과시장,3,29,183000000
96,2020,2,R,전통시장,1001430,영등포전통시장,4,65,154166369
97,2020,1,R,전통시장,1001430,영등포전통시장,4,65,154166369
98,2020,2,R,전통시장,1001429,은행나무시장,8,54,146750000
99,2020,1,R,전통시장,1001429,은행나무시장,8,54,146750000
100,2020,2,R,전통시장,1001428,박미시장,3,59,148171296
101,2020,1,R,전통시장,1001428,박미시장,3,59,148171296
102,2020,2,R,전통시장,1001427,현대시장,18,47,133887709
103,2020,1,R,전통시장,1001427,현대시장,18,47,133887709
104,2020,2,R,전통시장,1001425,푸른터시장,2,76,205074278
105,2020,1,R,전통시장,1001425,푸른터시장,2,76,205074278
106,2020,2,R,전통시장,1001424,남문시장,24,50,140069530
107,2020,1,R,전통시장,1001424,남문시장,24,50,140069530
108,2020,2,R,전통시장,1001421,개봉중앙시장,14,54,133701577
109,2020,1,R,전통시장,1001421,개봉중앙시장,14,54,133701577
110,2020,2,R,전통시장,1001420,고척근린시장,2,39,135912618
111,2020,1,R,전통시장,1001420,고척근린시장,2,39,135912618
112,2020,2,R,전통시장,1001419,가리봉시장,2,267,817000000
113,2020,1,R,전통시장,1001419,가리봉시장,2,267,817000000
114,2020,2,R,전통시장,1001418,남구로시장,11,48,93859848
115,2020,1,R,전통시장,1001418,남구로시장,11,48,93859848
116,2020,2,R,전통시장,1001417,구로시장,1,46,113555556
117,2020,1,R,전통시장,1001417,구로시장,1,46,113555556
118,2020,2,R,전통시장,1001415,방신전통시장,2,63,239418555
119,2020,1,R,전통시장,1001415,방신전통시장,2,63,239418555
120,2020,2,R,전통시장,1001414,송화골목시장,8,47,140120196
121,2020,1,R,전통시장,1001414,송화골목시장,8,47,140120196
122,2020,2,R,전통시장,1001413,까치산시장,29,48,133673421
123,2020,1,R,전통시장,1001413,까치산시장,29,48,133673421
124,2020,2,R,전통시장,1001412,화곡본동시장,12,50,120212126
125,2020,1,R,전통시장,1001412,화곡본동시장,12,50,120212126
126,2020,2,R,전통시장,1001411,남부골목시장,28,52,143394086
127,2020,1,R,전통시장,1001411,남부골목시장,28,52,143394086
128,2020,2,R,전통시장,1001409,화곡중앙골목시장,26,49,113747772
129,2020,1,R,전통시장,1001409,화곡중앙골목시장,26,49,113747772
130,2020,2,R,전통시장,1001405,신정2동골목시장,4,50,207772556
131,2020,1,R,전통시장,1001405,신정2동골목시장,4,50,207772556
132,2020,2,R,전통시장,1001403,신월7동골목시장,3,49,130690000
133,2020,1,R,전통시장,1001403,신월7동골목시장,3,49,130690000
134,2020,2,R,전통시장,1001400,신월3동골목시장,1,35,61833333
135,2020,1,R,전통시장,1001400,신월3동골목시장,1,35,61833333
136,2020,2,R,전통시장,1001399,경창시장,5,66,152726642
137,2020,1,R,전통시장,1001399,경창시장,5,66,152726642
138,2020,2,R,전통시장,1001398,월정로시장,24,51,109753584
139,2020,1,R,전통시장,1001398,월정로시장,24,51,109753584
140,2020,2,R,전통시장,1001397,신영시장,13,52,115788199
141,2020,1,R,전통시장,1001397,신영시장,13,52,115788199
142,2020,2,R,전통시장,1001396,목4동시장,24,58,171280260
143,2020,1,R,전통시장,1001396,목4동시장,24,58,171280260
144,2020,2,R,전통시장,1001395,목3동시장,13,49,185909130
145,2020,1,R,전통시장,1001395,목3동시장,13,49,185909130
146,2020,2,R,전통시장,1001394,목2동시장,21,48,170220147
147,2020,1,R,전통시장,1001394,목2동시장,21,48,170220147
148,2020,2,R,전통시장,1001391,망원월드컵시장,24,48,173992934
149,2020,1,R,전통시장,1001391,망원월드컵시장,24,48,173992934
150,2020,2,R,전통시장,1001390,망원시장,50,51,194819930
151,2020,1,R,전통시장,1001390,망원시장,50,51,194819930
152,2020,2,R,전통시장,1001389,합정시장,1,64,266275000
153,2020,1,R,전통시장,1001389,합정시장,1,64,266275000
154,2020,2,R,전통시장,1001388,영진시장,3,57,228298958
155,2020,1,R,전통시장,1001388,영진시장,3,57,228298958
156,2020,2,R,전통시장,1001386,신수시장,2,41,194535714
157,2020,1,R,전통시장,1001386,신수시장,2,41,194535714
158,2020,2,R,전통시장,1001385,아현시장,3,59,211638889
159,2020,1,R,전통시장,1001385,아현시장,3,59,211638889
160,2020,2,R,전통시장,1001382,백련시장,1,55,160031250
161,2020,1,R,전통시장,1001382,백련시장,1,55,160031250
162,2020,2,R,전통시장,1001381,모래내시장,11,62,242563004
163,2020,1,R,전통시장,1001381,모래내시장,11,62,242563004
164,2020,2,R,전통시장,1001380,포방터시장,7,54,112071769
165,2020,1,R,전통시장,1001380,포방터시장,7,54,112071769
166,2020,2,R,전통시장,1001379,인왕시장,1,72,183325000
167,2020,1,R,전통시장,1001379,인왕시장,1,72,183325000
168,2020,2,R,전통시장,1001377,영천시장,3,35,112050794
169,2020,1,R,전통시장,1001377,영천시장,3,35,112050794
170,2020,2,R,전통시장,1001375,증산종합시장,3,64,147498611
171,2020,1,R,전통시장,1001375,증산종합시장,3,64,147498611
172,2020,2,R,전통시장,1001374,대림골목시장,8,48,124840625
173,2020,1,R,전통시장,1001374,대림골목시장,8,48,124840625
174,2020,2,R,전통시장,1001373,신응암시장,2,50,205500000
175,2020,1,R,전통시장,1001373,신응암시장,2,50,205500000
176,2020,2,R,전통시장,1001371,대조시장,16,46,134893284
177,2020,1,R,전통시장,1001371,대조시장,16,46,134893284
178,2020,2,R,전통시장,1001368,연서시장,1,100,316376812
179,2020,1,R,전통시장,1001368,연서시장,1,100,316376812
180,2020,2,R,전통시장,1001367,상계중앙시장,20,56,135646240
181,2020,1,R,전통시장,1001367,상계중앙시장,20,56,135646240
182,2020,2,R,전통시장,1001365,공릉동도깨비시장,23,52,146987162
183,2020,1,R,전통시장,1001365,공릉동도깨비시장,23,52,146987162
184,2020,2,R,전통시장,1001364,방학동도깨비시장,11,47,91337973
185,2020,1,R,전통시장,1001364,방학동도깨비시장,11,47,91337973
186,2020,2,R,전통시장,1001363,쌍문역골목시장,6,55,121724537
187,2020,1,R,전통시장,1001363,쌍문역골목시장,6,55,121724537
188,2020,2,R,전통시장,1001362,백운시장,8,49,116112580
189,2020,1,R,전통시장,1001362,백운시장,8,49,116112580
190,2020,2,R,전통시장,1001361,신도봉시장,3,42,73560714
191,2020,1,R,전통시장,1001361,신도봉시장,3,42,73560714
192,2020,2,R,전통시장,1001360,창동골목시장,8,46,119664583
193,2020,1,R,전통시장,1001360,창동골목시장,8,46,119664583
194,2020,2,R,전통시장,1001359,창동신창시장,47,52,136439056
195,2020,1,R,전통시장,1001359,창동신창시장,47,52,136439056
196,2020,2,R,전통시장,1001358,수유북부시장,1,81,148000000
197,2020,1,R,전통시장,1001358,수유북부시장,1,81,148000000
198,2020,2,R,전통시장,1001357,장미원골목시장,40,49,138173425
199,2020,1,R,전통시장,1001357,장미원골목시장,40,49,138173425
200,2020,2,R,전통시장,1001356,수유중앙시장,2,55,108750000
