,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수
54,2020,2,A,골목상권,1000108,성수이로18길,3
55,2020,2,A,골목상권,1000109,성수이로7길,5
56,2020,2,A,골목상권,1000110,성수일로6길,20
57,2020,2,A,골목상권,1000111,송정12라길,8
58,2020,2,A,골목상권,1000112,송정4가길,17
59,2020,2,A,골목상권,1000113,아차산로11길,1
60,2020,2,A,골목상권,1000114,아차산로15길,4
61,2020,2,A,골목상권,1000115,아차산로5길,9
62,2020,2,A,골목상권,1000116,왕십리로14길,12
63,2020,2,A,골목상권,1000117,왕십리로21길,7
64,2020,2,A,골목상권,1000118,왕십리로26길,30
65,2020,2,A,골목상권,1000119,왕십리로31길,14
66,2020,2,A,골목상권,1000120,왕십리로6길,20
67,2020,2,A,골목상권,1000121,용답29길,27
68,2020,2,A,골목상권,1000122,용답중앙길,6
69,2020,2,A,골목상권,1000123,장터길,38
70,2020,2,A,골목상권,1000124,청계천로10나길,21
71,2020,2,A,골목상권,1000125,한림말3길,11
72,2020,2,A,골목상권,1000126,한림말길,13
73,2020,2,A,골목상권,1000127,광나루로12길,27
74,2020,2,A,골목상권,1000128,광나루로24길,9
75,2020,2,A,골목상권,1000129,광나루로36길,22
76,2020,2,A,골목상권,1000130,광나루로37길,11
77,2020,2,A,골목상권,1000131,광나루로40길,18
78,2020,2,A,골목상권,1000132,광나루로52길,7
79,2020,2,A,골목상권,1000133,긴고랑로20길,22
80,2020,2,A,골목상권,1000134,긴고랑로7길,27
81,2020,2,A,골목상권,1000135,긴고랑로8길,6
82,2020,2,A,골목상권,1000136,긴고랑로9길,17
83,2020,2,A,골목상권,1000137,능동로13길,22
84,2020,2,A,골목상권,1000138,능동로19길,12
85,2020,2,A,골목상권,1000139,능동로34길,7
86,2020,2,A,골목상권,1000140,능동로3길,14
87,2020,2,A,골목상권,1000141,능동로4길,3
88,2020,2,A,골목상권,1000142,동일로18길,19
89,2020,2,A,골목상권,1000143,동일로24길,4
90,2020,2,A,골목상권,1000144,뚝섬로23길,6
91,2020,2,A,골목상권,1000145,뚝섬로24길,13
92,2020,2,A,골목상권,1000146,뚝섬로48길,17
93,2020,2,A,골목상권,1000147,뚝섬로54길,7
94,2020,2,A,골목상권,1000148,뚝섬로58길,13
95,2020,2,A,골목상권,1000149,뚝섬로64길,15
96,2020,2,A,골목상권,1000150,면목로17길,19
97,2020,2,A,골목상권,1000151,아차산로40길,5
98,2020,2,A,골목상권,1000152,아차산로51길,2
99,2020,2,A,골목상권,1000153,아차산로55길,6
100,2020,2,A,골목상권,1000154,아차산로65길,8
101,2020,2,A,골목상권,1000155,아차산로78길,11
102,2020,2,A,골목상권,1000156,용마산로21길,27
103,2020,2,A,골목상권,1000157,용마산로3길,9
104,2020,2,A,골목상권,1000158,자양로11길,16
105,2020,2,A,골목상권,1000159,자양로15길,12
106,2020,2,A,골목상권,1000160,자양로26길,12
107,2020,2,A,골목상권,1000161,자양로45길,27
108,2020,2,A,골목상권,1000162,자양로50길,16
109,2020,2,A,골목상권,1000163,자양로53길,10
110,2020,2,A,골목상권,1000164,자양번영로3길,6
111,2020,2,A,골목상권,1000165,천호대로109길,33
112,2020,2,A,골목상권,1000166,천호대로123길,25
113,2020,2,A,골목상권,1000167,천호대로129길,24
114,2020,2,A,골목상권,1000168,경희대로3길,13
115,2020,2,A,골목상권,1000169,경희대로4길,14
116,2020,2,A,골목상권,1000170,난계로30길,3
117,2020,2,A,골목상권,1000171,답십리로23길,3
118,2020,2,A,골목상권,1000172,답십리로56길,9
119,2020,2,A,골목상권,1000173,답십리로60길,9
120,2020,2,A,골목상권,1000174,답십리로63길,1
121,2020,2,A,골목상권,1000175,답십리로64길,5
122,2020,2,A,골목상권,1000176,답십리로68길,4
123,2020,2,A,골목상권,1000177,답십리로69길,13
124,2020,2,A,골목상권,1000178,답십리로72길,7
125,2020,2,A,골목상권,1000179,망우로18가길,1
126,2020,2,A,골목상권,1000180,망우로18길,8
127,2020,2,A,골목상권,1000181,망우로21길,10
128,2020,2,A,골목상권,1000182,무학로16길,5
129,2020,2,A,골목상권,1000183,무학로45길,9
130,2020,2,A,골목상권,1000184,사가정로13길,13
131,2020,2,A,골목상권,1000185,사가정로23가길,9
132,2020,2,A,골목상권,1000186,사가정로2길,3
133,2020,2,A,골목상권,1000187,서울시립대로16길,5
134,2020,2,A,골목상권,1000188,서울시립대로29길,11
135,2020,2,A,골목상권,1000189,서울시립대로4길,14
136,2020,2,A,골목상권,1000190,약령시로17길,12
137,2020,2,A,골목상권,1000191,왕산로32길,2
138,2020,2,A,골목상권,1000192,왕산로33길,6
139,2020,2,A,골목상권,1000193,왕산로43길,20
140,2020,2,A,골목상권,1000194,이문로42길,8
141,2020,2,A,골목상권,1000195,장한로14길,2
142,2020,2,A,골목상권,1000196,장한로25길,14
143,2020,2,A,골목상권,1000197,장한로26가길,12
144,2020,2,A,골목상권,1000198,장한로26길,6
145,2020,2,A,골목상권,1000199,장한로27가길,5
146,2020,2,A,골목상권,1000200,장한로27길,8
147,2020,2,A,골목상권,1000201,장한로5길,10
148,2020,2,A,골목상권,1000202,장한로8길,6
149,2020,2,A,골목상권,1000203,전농로29길,6
150,2020,2,A,골목상권,1000204,전농로3길,7
151,2020,2,A,골목상권,1000205,전농로4길,9
152,2020,2,A,골목상권,1000206,제기로21길,4
153,2020,2,A,골목상권,1000207,제기로5길,6
154,2020,2,A,골목상권,1000208,천장산로7길,4
155,2020,2,A,골목상권,1000209,천호대로12길,1
156,2020,2,A,골목상권,1000210,천호대로17길,16
157,2020,2,A,골목상권,1000211,천호대로45길,1
158,2020,2,A,골목상권,1000212,천호대로77길,2
159,2020,2,A,골목상권,1000213,천호대로97길,9
160,2020,2,A,골목상권,1000214,한천로14길,17
161,2020,2,A,골목상권,1000215,한천로33길,8
162,2020,2,A,골목상권,1000216,한천로40길,10
163,2020,2,A,골목상권,1000217,한천로46길,9
