,기준_년월_코드,기준_분기_코드,기준_분기_코드.1,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수
115,2020,2,R,전통시장,1001369,갈현시장,287
116,2020,2,R,전통시장,1001368,연서시장,206
117,2020,2,R,전통시장,1001367,상계중앙시장,105
118,2020,2,R,전통시장,1001366,상계시장,8
119,2020,2,R,전통시장,1001365,공릉동도깨비시장,98
120,2020,2,R,전통시장,1001364,방학동도깨비시장,39
121,2020,2,R,전통시장,1001363,쌍문역골목시장,61
122,2020,2,R,전통시장,1001362,백운시장,33
123,2020,2,R,전통시장,1001361,신도봉시장,5
124,2020,2,R,전통시장,1001360,창동골목시장,84
125,2020,2,R,전통시장,1001359,창동신창시장,104
126,2020,2,R,전통시장,1001358,수유북부시장,20
127,2020,2,R,전통시장,1001357,장미원골목시장,911
128,2020,2,R,전통시장,1001356,수유중앙시장,13
129,2020,2,R,전통시장,1001355,강북종합시장,23
130,2020,2,R,전통시장,1001354,우이시장,69
131,2020,2,R,전통시장,1001353,수유전통시장,231
132,2020,2,R,전통시장,1001352,번동북부골목시장,50
133,2020,2,R,전통시장,1001351,솔샘시장,73
134,2020,2,R,전통시장,1001350,숭인시장,62
135,2020,2,R,전통시장,1001349,방천골목시장,92
136,2020,2,R,전통시장,1001348,동북시장,121
137,2020,2,R,전통시장,1001347,석관황금시장,191
138,2020,2,R,전통시장,1001345,새석관시장,3
139,2020,2,R,전통시장,1001343,장위전통시장,40
140,2020,2,R,전통시장,1001342,밤나무골시장,17
141,2020,2,R,전통시장,1001341,길음시장,91
142,2020,2,R,전통시장,1001340,정릉시장,131
143,2020,2,R,전통시장,1001339,정릉아리랑시장,22
144,2020,2,R,전통시장,1001338,돈암제일시장,97
145,2020,2,R,전통시장,1001337,유영시장,31
146,2020,2,R,전통시장,1001336,우림골목시장,344
147,2020,2,R,전통시장,1001335,묵1동도깨비시장,35
148,2020,2,R,전통시장,1001334,태능시장,81
149,2020,2,R,전통시장,1001333,중화제일시장,69
150,2020,2,R,전통시장,1001332,사가정시장,86
151,2020,2,R,전통시장,1001331,면목골목시장,45
152,2020,2,R,전통시장,1001330,동원시장,224
153,2020,2,R,전통시장,1001329,동부골목시장,179
154,2020,2,R,전통시장,1001327,이경시장,16
155,2020,2,R,전통시장,1001326,회기시장,55
156,2020,2,R,전통시장,1001325,청량리청과물시장,12
157,2020,2,R,전통시장,1001324,전곡시장,77
158,2020,2,R,전통시장,1001323,답십리시장,93
159,2020,2,R,전통시장,1001322,동부시장,14
160,2020,2,R,전통시장,1001321,답십리현대시장,36
161,2020,2,R,전통시장,1001320,전농로터리시장,7
162,2020,2,R,전통시장,1001319,청량리종합시장,13
163,2020,2,R,전통시장,1001318,청량리전통시장,9
164,2020,2,R,전통시장,1001316,서울약령시장,1171
165,2020,2,R,전통시장,1001315,동서시장,5
166,2020,2,R,전통시장,1001314,경동시장,130
167,2020,2,R,전통시장,1001313,청량리수산시장,20
168,2020,2,R,전통시장,1001312,용두시장,4
169,2020,2,R,전통시장,1001309,조양시장,31
170,2020,2,R,전통시장,1001308,영동교골목시장,41
171,2020,2,R,전통시장,1001307,능동로골목시장,56
172,2020,2,R,전통시장,1001306,노룬산골목시장,23
173,2020,2,R,전통시장,1001305,자양종합시장,14
174,2020,2,R,전통시장,1001304,자양골목시장,54
175,2020,2,R,전통시장,1001303,신성골목시장,19
176,2020,2,R,전통시장,1001302,면곡골목시장,49
177,2020,2,R,전통시장,1001301,중곡제일시장,111
178,2020,2,R,전통시장,1001300,화양제일골목시장,43
179,2020,2,R,전통시장,1001299,한아름시장,40
180,2020,2,R,전통시장,1001298,성동용답상가시장,66
181,2020,2,R,전통시장,1001297,뚝도시장,45
182,2020,2,R,전통시장,1001296,금남시장,36
183,2020,2,R,전통시장,1001295,행당시장,314
184,2020,2,R,전통시장,1001294,마장축산물시장,532
185,2020,2,R,전통시장,1001293,보광시장,31
186,2020,2,R,전통시장,1001292,이태원제일시장,2
187,2020,2,R,전통시장,1001291,이태원시장,32
188,2020,2,R,전통시장,1001290,이촌종합시장,109
189,2020,2,R,전통시장,1001289,용문전통시장,19
190,2020,2,R,전통시장,1001288,만리시장,12
191,2020,2,R,전통시장,1001287,신흥시장,4
192,2020,2,R,전통시장,1001286,후암시장,15
193,2020,2,R,전통시장,1001285,합동(새벽)시장,365
194,2020,2,R,전통시장,1001284,서울중앙시장,451
195,2020,2,R,전통시장,1001283,백학시장,95
196,2020,2,R,전통시장,1001282,약수시장,271
197,2020,2,R,전통시장,1001281,청평화시장,120
198,2020,2,R,전통시장,1001280,제일평화시장,53
199,2020,2,R,전통시장,1001279,동평화시장,178
200,2020,2,R,전통시장,1001278,남평화시장,5
201,2020,2,R,전통시장,1001277,방산종합시장,1190
202,2020,2,R,전통시장,1001276,평화시장,906
203,2020,2,R,전통시장,1001275,인현시장,167
204,2020,2,R,전통시장,1001274,신중부시장,3089
205,2020,2,R,전통시장,1001273,남대문시장,8186
206,2020,2,R,전통시장,1001272,신설종합시장,50
207,2020,2,R,전통시장,1001271,동묘시장,474
208,2020,2,R,전통시장,1001270,창신골목시장,13
209,2020,2,R,전통시장,1001269,동문시장,3
210,2020,2,R,전통시장,1001268,충신시장,77
211,2020,2,R,전통시장,1001267,종로신진시장,158
212,2020,2,R,전통시장,1001266,동대문종합시장,1319
213,2020,2,R,전통시장,1001265,광장시장,444
214,2020,2,R,전통시장,1001264,통인시장,59
215,2020,2,D,발달상권,1001263,서울 노원구 노원역_3,418
216,2020,2,D,발달상권,1001262,서울 노원구 노원역_2,274
217,2020,2,D,발달상권,1001261,서울 노원구 노원역_1,336
218,2020,2,D,발달상권,1001260,창동역,1003
219,2020,2,D,발달상권,1001259,서울 강북구 수유역_3,70
220,2020,2,D,발달상권,1001258,등나무근린공원 주변,65
221,2020,2,D,발달상권,1001257,서울 강북구 수유역_2,2284
222,2020,2,D,발달상권,1001256,서울 강북구 수유역_1,831
223,2020,2,D,발달상권,1001255,서울 은평구 연신내역_3,108
224,2020,2,D,발달상권,1001254,서울 은평구 연신내역_2,555
225,2020,2,D,발달상권,1001253,서울 은평구 연신내역_1,70
226,2020,2,D,발달상권,1001252,서울 성북구 미아삼거리역_2,322
227,2020,2,D,발달상권,1001251,서울 강북구 미아삼거리역_1,140
228,2020,2,D,발달상권,1001250,서울 은평구 불광역_3,67
229,2020,2,D,발달상권,1001249,서울 은평구 불광역_2,116
230,2020,2,D,발달상권,1001248,서울 은평구 불광역_1,180
231,2020,2,D,발달상권,1001247,미아사거리_2,102
232,2020,2,D,발달상권,1001246,미아사거리_1,210
233,2020,2,D,발달상권,1001245,서울 성북구 성신여대입구역,2865
234,2020,2,D,발달상권,1001244,경희대학교,70
235,2020,2,D,발달상권,1001243,서울 성북구 안암역,59
236,2020,2,D,발달상권,1001242,혜화역 대학로_3,477
237,2020,2,D,발달상권,1001241,혜화역 대학로_2,334
238,2020,2,D,발달상권,1001240,혜화역 대학로_1,1230
239,2020,2,D,발달상권,1001239,디지털미디어시티,6727
240,2020,2,D,발달상권,1001238,서울 동대문구 청량리역,776
241,2020,2,D,발달상권,1001237,서울 종로구 경복궁역_2,239
242,2020,2,D,발달상권,1001236,서울 종로구 안국역_2,810
243,2020,2,D,발달상권,1001235,서울 종로구 안국역_1,8804
244,2020,2,D,발달상권,1001234,서울 종로구 경복궁역_1,599
245,2020,2,D,발달상권,1001233,서울 종로구 종로3가역_3,2136
246,2020,2,D,발달상권,1001232,서울 종로구 종로3가역_2,1823
247,2020,2,D,발달상권,1001231,서울 동대문구 신설동역_2,5440
248,2020,2,D,발달상권,1001230,인사동,26072
249,2020,2,D,발달상권,1001229,서울 종로구 종로5가역_4,1358
250,2020,2,D,발달상권,1001228,서울 종로구 종로5가역_3,1766
251,2020,2,D,발달상권,1001227,종로구청,20709
252,2020,2,D,발달상권,1001226,서울 종로구 종로5가역_2,16173
253,2020,2,D,발달상권,1001225,신설동역,118
254,2020,2,D,발달상권,1001224,서울 동대문구 신설동역_1,1543
255,2020,2,D,발달상권,1001223,서울 종로구 광화문역_2,27999
256,2020,2,D,발달상권,1001222,동묘앞역,223
257,2020,2,D,발달상권,1001221,장안동사거리,1587
258,2020,2,D,발달상권,1001220,서울 종로구 동대문역_2,748
259,2020,2,D,발달상권,1001219,서울 종로구 동대문역_1,28
260,2020,2,D,발달상권,1001218,동대문시장_2,195
261,2020,2,D,발달상권,1001217,서울 종로구 종로5가역_1,22
262,2020,2,D,발달상권,1001216,서울 종로구 종로3가역_1,2657
263,2020,2,D,발달상권,1001215,서울 종로구 광화문역_1,12759
264,2020,2,D,발달상권,1001214,종각역,10396
265,2020,2,D,발달상권,1001213,종각역 젊음의 거리,13040
266,2020,2,D,발달상권,1001212,서대문구 서대문역_1,99
267,2020,2,D,발달상권,1001211,동대문시장_1,1663
268,2020,2,D,발달상권,1001210,시청역_2,14646
269,2020,2,D,발달상권,1001209,서울시청,9257
270,2020,2,D,발달상권,1001208,서울 중구 을지로3가역_2,3181
271,2020,2,D,발달상권,1001207,서울 중구 신당역_2,939
272,2020,2,D,발달상권,1001206,서대문구 서대문역_2,1486
273,2020,2,D,발달상권,1001205,동대문역사문화공원역,3166
274,2020,2,D,발달상권,1001204,서울 중구 을지로3가역_1,4549
275,2020,2,D,발달상권,1001203,명동거리,8147
276,2020,2,D,발달상권,1001202,롯데백화점,27149
277,2020,2,D,발달상권,1001201,서울 중구 신당역_1,277
278,2020,2,D,발달상권,1001200,북창동,5197
279,2020,2,D,발달상권,1001199,서울 중구 충무로역_2,16329
280,2020,2,D,발달상권,1001198,서울 강서구 송정역,335
281,2020,2,D,발달상권,1001197,장한평역_2,1492
282,2020,2,D,발달상권,1001196,시청역_1,24904
283,2020,2,D,발달상권,1001195,왕십리역_2,233
284,2020,2,D,발달상권,1001194,서울 강서구 발산역,983
285,2020,2,D,발달상권,1001193,장한평역_1,1129
286,2020,2,D,발달상권,1001192,서울 중구 충무로역_1,3743
287,2020,2,D,발달상권,1001191,왕십리역_1,8
288,2020,2,D,발달상권,1001190,장한평역,3644
289,2020,2,D,발달상권,1001189,서울 중구 명동역,3595
290,2020,2,D,발달상권,1001188,장충동 족발거리,2100
291,2020,2,D,발달상권,1001187,한양시장,55
292,2020,2,D,발달상권,1001186,서울 서대문구 이대역,380
293,2020,2,D,발달상권,1001185,서울 서대문구 신촌역,924
294,2020,2,D,발달상권,1001184,서울 마포구 홍대입구역_3,659
295,2020,2,D,발달상권,1001183,서울 마포구 홍대입구역_2,977
296,2020,2,D,발달상권,1001182,홍익대학교 주변,8725
297,2020,2,D,발달상권,1001181,서울 광진구 군자역,621
298,2020,2,D,발달상권,1001180,신촌역,4403
299,2020,2,D,발달상권,1001179,강서구청,4278
300,2020,2,D,발달상권,1001178,서울 마포구 홍대입구역_1,1618
301,2020,2,D,발달상권,1001177,서울 중구 약수역_2,210
302,2020,2,D,발달상권,1001176,서울 중구 약수역_1,24
303,2020,2,D,발달상권,1001175,서울 강동구 고덕역,1359
304,2020,2,D,발달상권,1001174,등촌역,64
305,2020,2,D,발달상권,1001173,서울 강동구 명일역,671
306,2020,2,D,발달상권,1001172,어린이대공원역,41
307,2020,2,D,발달상권,1001171,서울 마포구 공덕역_2,3697
308,2020,2,D,발달상권,1001170,공덕역,2092
309,2020,2,D,발달상권,1001169,서울 용산구 숙대입구역,3807
310,2020,2,D,발달상권,1001168,남영역,4055
311,2020,2,D,발달상권,1001167,서울 마포구 공덕역_1,2420
312,2020,2,D,발달상권,1001166,서울 마포구 마포역_2,10151
313,2020,2,D,발달상권,1001165,서울 광진구 건대입구역_2,529
314,2020,2,D,발달상권,1001164,서울 마포구 마포역_1,3369
315,2020,2,D,발달상권,1001163,서울 강동구 천호역_2,1208
316,2020,2,D,발달상권,1001162,서울 광진구 건대입구역_1,109
317,2020,2,D,발달상권,1001161,건대입구역,24
318,2020,2,D,발달상권,1001160,서울 광진구 구의역,928
319,2020,2,D,발달상권,1001159,서울 강동구 천호역,259
320,2020,2,D,발달상권,1001158,당산역_2,1429
321,2020,2,D,발달상권,1001157,서울 강동구 천호역_1,138
322,2020,2,D,발달상권,1001156,서울 강동구 길동역,2628
323,2020,2,D,발달상권,1001155,용산 전자상가_5,1976
324,2020,2,D,발달상권,1001154,용산 전자상가_4,248
325,2020,2,D,발달상권,1001153,당산역_1,310
326,2020,2,D,발달상권,1001152,서울 광진구 강변역,1337
327,2020,2,D,발달상권,1001151,용산 전자상가_3,1752
328,2020,2,D,발달상권,1001150,서울 용산구 이태원역,452
329,2020,2,D,발달상권,1001149,한남오거리,823
330,2020,2,D,발달상권,1001148,목동사거리,41
331,2020,2,D,발달상권,1001147,용산 전자상가_2,392
332,2020,2,D,발달상권,1001146,용산구청,1526
333,2020,2,D,발달상권,1001145,용산 전자상가_1,3893
334,2020,2,D,발달상권,1001144,국회의사당역_2,19439
335,2020,2,D,발달상권,1001143,서울 용산구 신용산역,979
336,2020,2,D,발달상권,1001142,국회의사당역_1,4563
337,2020,2,D,발달상권,1001141,압구정 로데오거리_2,7107
338,2020,2,D,발달상권,1001140,서울 강남구 압구정역,9345
339,2020,2,D,발달상권,1001139,서울 영등포구 영등포구청역,449
340,2020,2,D,발달상권,1001138,압구정 로데오거리_1,14564
341,2020,2,D,발달상권,1001137,서울 강동구 둔촌동역,250
342,2020,2,D,발달상권,1001136,오목교역,125
343,2020,2,D,발달상권,1001135,신사동 가로수길,14671
344,2020,2,D,발달상권,1001134,서울 영등포구 여의도역_2,33585
345,2020,2,D,발달상권,1001133,청담사거리_3,1376
346,2020,2,D,발달상권,1001132,영등포유통상가,1504
347,2020,2,D,발달상권,1001131,청담역_2,4142
348,2020,2,D,발달상권,1001130,청담역_1,4062
349,2020,2,D,발달상권,1001129,청담사거리_2,1289
350,2020,2,D,발달상권,1001128,청담사거리_1,529
351,2020,2,D,발달상권,1001127,서울 영등포구 여의도역_1,27015
352,2020,2,D,발달상권,1001126,서울 양천구 신정네거리역_2,28
353,2020,2,D,발달상권,1001125,학동사거리_2,2498
354,2020,2,D,발달상권,1001124,서울 영등포구 영등포시장역,411
355,2020,2,D,발달상권,1001123,학동사거리_1,4075
356,2020,2,D,발달상권,1001122,여의도 시범아파트앞,10435
357,2020,2,D,발달상권,1001121,영등포역_3,121
358,2020,2,D,발달상권,1001120,도산공원사거리_1,4075
359,2020,2,D,발달상권,1001119,영등포역_2,583
360,2020,2,D,발달상권,1001118,문래동 주민센터,6184
361,2020,2,D,발달상권,1001117,강남구 신사역_2,6953
362,2020,2,D,발달상권,1001116,영등포역_1,77
363,2020,2,D,발달상권,1001115,서울 강남구 강남구청역_2,3172
364,2020,2,D,발달상권,1001114,강남구 신사역_1,1108
365,2020,2,D,발달상권,1001113,서울 동작구 노량진1동_1,40
366,2020,2,D,발달상권,1001112,서울 강남구 학동역_3,3152
367,2020,2,D,발달상권,1001111,서울 강남구 강남구청역_1,3516
368,2020,2,D,발달상권,1001110,잠실역,42527
369,2020,2,D,발달상권,1001109,강남구 논현역_4,4927
370,2020,2,D,발달상권,1001108,학동역,1014
371,2020,2,D,발달상권,1001107,방이동 먹자골목,6881
372,2020,2,D,발달상권,1001106,서울 강남구 학동역_2,2510
373,2020,2,D,발달상권,1001105,서울 동작구 노량진역,436
374,2020,2,D,발달상권,1001104,삼성역_3,52277
375,2020,2,D,발달상권,1001103,코엑스,15904
376,2020,2,D,발달상권,1001102,서울 강남구 학동역_1,1691
377,2020,2,D,발달상권,1001101,선정릉역_2,3758
378,2020,2,D,발달상권,1001100,강남구 논현역_3,2466
379,2020,2,D,발달상권,1001099,포스코사거리_2,16526
380,2020,2,D,발달상권,1001098,포스코사거리_1,22702
381,2020,2,D,발달상권,1001097,잠실역 롯데월드,2247
382,2020,2,D,발달상권,1001096,신도림역,1674
383,2020,2,D,발달상권,1001095,강남구 논현역_2,9009
384,2020,2,D,발달상권,1001094,선정릉역_1,2392
385,2020,2,D,발달상권,1001093,신천역,4789
386,2020,2,D,발달상권,1001092,강남구 논현역_1,2284
387,2020,2,D,발달상권,1001091,삼성역_2,7062
388,2020,2,D,발달상권,1001090,삼정역_2,1162
389,2020,2,D,발달상권,1001089,삼정역_1,2277
390,2020,2,D,발달상권,1001088,삼성역_1,18695
391,2020,2,D,발달상권,1001087,서울 강남구 선릉역_2,40183
392,2020,2,D,발달상권,1001086,고속터미널역,2010
393,2020,2,D,발달상권,1001085,서울 서초구 강남역,19954
394,2020,2,D,발달상권,1001084,서울 강남구 선릉역_1,21572
395,2020,2,D,발달상권,1001083,서울 송파구 석촌역_2,597
396,2020,2,D,발달상권,1001082,선릉역_2,26260
397,2020,2,D,발달상권,1001081,서울 강남구 역삼역_2,19179
398,2020,2,D,발달상권,1001080,서울 송파구 석촌역_1,168
399,2020,2,D,발달상권,1001079,석촌역,170
400,2020,2,D,발달상권,1001078,서울 강남구 강남역_2,9449
401,2020,2,D,발달상권,1001077,선릉역_1,16454
402,2020,2,D,발달상권,1001076,구로역,201
403,2020,2,D,발달상권,1001075,역삼역_2,10137
404,2020,2,D,발달상권,1001074,대림역_2,5179
405,2020,2,D,발달상권,1001073,서울 강남구 역삼역_1,22546
406,2020,2,D,발달상권,1001072,신대방삼거리역,259
407,2020,2,D,발달상권,1001071,서울 강남구 한티역,673
408,2020,2,D,발달상권,1001070,은마아파트입구사거리_4,570
409,2020,2,D,발달상권,1001069,은마아파트입구사거리_3,103
410,2020,2,D,발달상권,1001068,은마아파트입구사거리_2,15650
411,2020,2,D,발달상권,1001067,오류동역,2297
412,2020,2,D,발달상권,1001066,서울 강남구 강남역,27566
413,2020,2,D,발달상권,1001065,은마아파트입구사거리_1,277
414,2020,2,D,발달상권,1001064,대림역_1,340
415,2020,2,D,발달상권,1001063,교대역_4,6267
416,2020,2,D,발달상권,1001062,서울 강남구 강남역_1,25938
417,2020,2,D,발달상권,1001061,방배동카페골목,374
418,2020,2,D,발달상권,1001059,교대역_3,1005
419,2020,2,D,발달상권,1001058,역삼역_1,10667
420,2020,2,D,발달상권,1001057,교대역_2,3971
421,2020,2,D,발달상권,1001056,서울 송파구 가락시장역,5421
422,2020,2,D,발달상권,1001055,서울 서초구 서초역,1858
423,2020,2,D,발달상권,1001054,서울 강남구 대치역_2,1139
424,2020,2,D,발달상권,1001053,서울 강남구 대치역_1,102
425,2020,2,D,발달상권,1001052,뱅뱅사거리_2,12301
426,2020,2,D,발달상권,1001051,보라매공원,2417
427,2020,2,D,발달상권,1001050,교대역_1,17722
428,2020,2,D,발달상권,1001049,개봉동 현대아파트 인근,271
429,2020,2,D,발달상권,1001048,뱅뱅사거리,7114
430,2020,2,D,발달상권,1001047,뱅뱅사거리_1,4820
431,2020,2,D,발달상권,1001046,서울 관악구 신림역_4,332
432,2020,2,D,발달상권,1001045,동작구 총신대입구역_1,327
433,2020,2,D,발달상권,1001044,양재역_3,9025
434,2020,2,D,발달상권,1001043,동작구 총신대입구역_2,1633
435,2020,2,D,발달상권,1001042,서울 서초구 남부터미널역_3,3060
