,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,총_직장인구_수,추정매출,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,총_상주인구_수,집객시설_수
0,2020.0,2.0,전통시장,1001453,낙성대시장,189157.0,10.0,3994676986.0,6.0,37.0,123503739.0,568.0,4.0
1,2020.0,2.0,전통시장,1001454,봉천제일종합시장,82738.0,6.0,4456344331.0,2.0,30.0,168357143.0,496.0,2.0
2,2020.0,2.0,전통시장,1001474,도곡시장,284809.0,57.0,11627356469.0,1.0,67.0,639223684.0,241.0,7.0
3,2020.0,2.0,전통시장,1001475,강남개포시장,45750.0,138.0,3526016296.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,4.0
4,2020.0,2.0,전통시장,1001412,화곡본동시장,184732.0,36.0,14424034722.0,12.0,50.0,120212126.0,338.0,10.0
5,2020.0,2.0,전통시장,1001413,까치산시장,972203.0,114.0,19639064106.0,29.0,48.0,133673421.0,1108.0,34.0
6,2020.0,2.0,전통시장,1001414,송화골목시장,199486.0,119.0,14630507691.0,8.0,47.0,140120196.0,614.0,30.0
7,2020.0,2.0,전통시장,1001452,중부시장,217735.0,102.0,10600281756.0,4.0,51.0,187520635.0,647.0,14.0
8,2020.0,2.0,전통시장,1001415,방신전통시장,317850.0,116.0,7618439501.0,2.0,63.0,239418555.0,584.0,5.0
9,2020.0,2.0,전통시장,1001416,공항시장,58114.0,2239.1666666666665,199432919.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,1.0
10,2020.0,2.0,전통시장,1001423,독산동 우시장,130351.0,611.0,166804771731.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,6.0
11,2020.0,2.0,전통시장,1001424,남문시장,273302.0,76.0,9853629309.0,24.0,50.0,140069530.0,1563.0,9.0
12,2020.0,2.0,전통시장,1001425,푸른터시장,70709.0,3.0,7297075309.693334,2.0,76.0,205074278.0,43.0,0.0
13,2020.0,2.0,전통시장,1001426,대명시장,30200.0,28.0,4096164759.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,0.0
14,2020.0,2.0,전통시장,1001427,현대시장,656963.0,139.0,22571110405.0,18.0,47.0,133887709.0,2140.0,24.0
15,2020.0,2.0,전통시장,1001428,박미시장,23344.0,39.0,1783927873.0,3.0,59.0,148171296.0,285.0,2.0
16,2020.0,2.0,전통시장,1001429,은행나무시장,137102.0,67.0,6440648436.0,8.0,54.0,146750000.0,439.0,11.0
17,2020.0,2.0,전통시장,1001470,강남시장_강남,46984.0,58.0,2202632696.0,1.0,95.0,359478723.0,260.0,0.0
18,2020.0,2.0,전통시장,1001372,녹번시장,34267.0,22.0,7540389242.746667,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,2.0
19,2020.0,2.0,전통시장,1001373,신응암시장,117962.0,17.0,2159573492.0,2.0,50.0,205500000.0,198.0,5.0
20,2020.0,2.0,전통시장,1001374,대림골목시장,222900.0,237.0,6559658311.0,8.0,48.0,124840625.0,568.0,11.0
21,2020.0,2.0,전통시장,1001480,새마을시장,827462.0,208.0,19903253784.0,44.0,40.0,209797797.0,2314.0,19.0
22,2020.0,2.0,전통시장,1001440,노량진중앙시장,240957.0,244.0,9238295076.0,1.0,147.0,299142857.0,638.0,9.0
23,2020.0,2.0,전통시장,1001441,본동인정시장,186540.0,59.0,720790092.0,1.0,86.0,525000000.0,406.0,19.0
24,2020.0,2.0,전통시장,1001442,신노량진시장,28515.0,11.0,1654436004.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,4.0
25,2020.0,2.0,전통시장,1001443,강남시장_동작,44865.0,1859.4133333333334,866169014.0,1.0,49.0,71085714.0,108.0,0.0
26,2020.0,2.0,전통시장,1001444,상도전통시장,502178.0,239.0,8417064046.0,18.0,56.0,181107554.0,1602.0,19.0
27,2020.0,2.0,전통시장,1001445,영도시장,41611.0,73.0,1127649377.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,6.0
28,2020.0,2.0,전통시장,1001446,성대시장,60517.0,141.0,14931660441.0,2.0,34.0,160357143.0,177.0,18.0
29,2020.0,2.0,전통시장,1001375,증산종합시장,22928.0,8.0,2557753984.0,3.0,64.0,147498611.0,156.0,0.0
30,2020.0,2.0,전통시장,1001376,수일시장,29877.0,7.0,928712573.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,6.0
31,2020.0,2.0,전통시장,1001460,관악신사시장,427723.0,120.0,6929922446.0,25.0,53.0,170190594.0,2203.0,13.0
32,2020.0,2.0,전통시장,1001461,신림종합시장,35385.0,8.0,549251790.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,0.0
33,2020.0,2.0,전통시장,1001462,강남골목시장,290023.0,168.0,4701704201.0,5.0,46.0,145078889.0,574.0,1.0
34,2020.0,2.0,전통시장,1001463,신림중앙시장,55194.0,43.0,1356503081.0,3.0,42.0,184383476.0,62.0,3.0
35,2020.0,2.0,전통시장,1001464,삼성동시장,270623.0,2112.3133333333335,4617167080.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,2.0
36,2020.0,2.0,전통시장,1001465,신신림시장,56866.0,1620.86,2625742576.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,2.0
37,2020.0,2.0,전통시장,1001466,미성동도깨비시장,232855.0,75.0,4390822685.0,3.0,66.0,179668193.0,627.0,12.0
38,2020.0,2.0,전통시장,1001467,우림시장,50903.0,1.0,1604273776.0,24.42,76.01333333333334,299076444.14666665,1691.0666666666666,2.0
