,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총 상주인구 수
0,2020,2,U,관광특구,1001496,24
1,2020,2,U,관광특구,1001495,8221
2,2020,2,U,관광특구,1001494,1924
3,2020,2,U,관광특구,1001493,2427
4,2020,2,U,관광특구,1001492,1104
5,2020,2,U,관광특구,1001491,5176
6,2020,2,R,전통시장,1001490,3097
7,2020,2,R,전통시장,1001489,595
8,2020,2,R,전통시장,1001488,1023
9,2020,2,R,전통시장,1001487,90
10,2020,2,R,전통시장,1001486,170
11,2020,2,R,전통시장,1001485,343
12,2020,2,R,전통시장,1001484,842
13,2020,2,R,전통시장,1001483,800
14,2020,2,R,전통시장,1001482,288
15,2020,2,R,전통시장,1001481,1952
16,2020,2,R,전통시장,1001480,2314
17,2020,2,R,전통시장,1001479,803
18,2020,2,R,전통시장,1001478,5119
19,2020,2,R,전통시장,1001477,947
20,2020,2,R,전통시장,1001476,2104
21,2020,2,R,전통시장,1001475,7
22,2020,2,R,전통시장,1001474,241
23,2020,2,R,전통시장,1001473,171
24,2020,2,R,전통시장,1001472,85
25,2020,2,R,전통시장,1001471,1169
26,2020,2,R,전통시장,1001470,260
27,2020,2,R,전통시장,1001469,104
28,2020,2,R,전통시장,1001468,147
29,2020,2,R,전통시장,1001467,79
30,2020,2,R,전통시장,1001466,627
31,2020,2,R,전통시장,1001465,52
32,2020,2,R,전통시장,1001464,162
33,2020,2,R,전통시장,1001463,62
34,2020,2,R,전통시장,1001462,574
35,2020,2,R,전통시장,1001461,5
36,2020,2,R,전통시장,1001460,2203
37,2020,2,R,전통시장,1001459,441
38,2020,2,R,전통시장,1001458,1451
39,2020,2,R,전통시장,1001457,441
40,2020,2,R,전통시장,1001456,15
41,2020,2,R,전통시장,1001455,101
42,2020,2,R,전통시장,1001454,496
43,2020,2,R,전통시장,1001453,568
44,2020,2,R,전통시장,1001452,647
45,2020,2,R,전통시장,1001451,8
46,2020,2,R,전통시장,1001450,536
47,2020,2,R,전통시장,1001449,572
48,2020,2,R,전통시장,1001448,1009
49,2020,2,R,전통시장,1001447,1866
50,2020,2,R,전통시장,1001446,177
51,2020,2,R,전통시장,1001445,61
52,2020,2,R,전통시장,1001444,1602
53,2020,2,R,전통시장,1001443,108
54,2020,2,R,전통시장,1001442,15
55,2020,2,R,전통시장,1001441,406
56,2020,2,R,전통시장,1001440,638
57,2020,2,R,전통시장,1001439,355
58,2020,2,R,전통시장,1001438,321
59,2020,2,R,전통시장,1001437,117
60,2020,2,R,전통시장,1001436,86
61,2020,2,R,전통시장,1001433,673
62,2020,2,R,전통시장,1001432,73
63,2020,2,R,전통시장,1001431,278
64,2020,2,R,전통시장,1001430,2354
65,2020,2,R,전통시장,1001429,439
66,2020,2,R,전통시장,1001428,285
67,2020,2,R,전통시장,1001427,2140
68,2020,2,R,전통시장,1001426,10
69,2020,2,R,전통시장,1001425,43
70,2020,2,R,전통시장,1001424,1563
71,2020,2,R,전통시장,1001423,84
72,2020,2,R,전통시장,1001422,156
73,2020,2,R,전통시장,1001421,361
74,2020,2,R,전통시장,1001420,618
75,2020,2,R,전통시장,1001419,244
76,2020,2,R,전통시장,1001418,631
77,2020,2,R,전통시장,1001417,126
78,2020,2,R,전통시장,1001416,167
79,2020,2,R,전통시장,1001415,584
80,2020,2,R,전통시장,1001414,614
81,2020,2,R,전통시장,1001413,1108
82,2020,2,R,전통시장,1001412,338
83,2020,2,R,전통시장,1001411,1961
84,2020,2,R,전통시장,1001409,976
85,2020,2,R,전통시장,1001408,72
86,2020,2,R,전통시장,1001407,3
87,2020,2,R,전통시장,1001406,255
88,2020,2,R,전통시장,1001405,484
89,2020,2,R,전통시장,1001404,182
90,2020,2,R,전통시장,1001403,142
91,2020,2,R,전통시장,1001402,163
92,2020,2,R,전통시장,1001401,59
93,2020,2,R,전통시장,1001400,332
94,2020,2,R,전통시장,1001399,364
95,2020,2,R,전통시장,1001398,1581
96,2020,2,R,전통시장,1001397,1172
97,2020,2,R,전통시장,1001396,1170
98,2020,2,R,전통시장,1001395,1215
99,2020,2,R,전통시장,1001394,1298
100,2020,2,R,전통시장,1001392,27
101,2020,2,R,전통시장,1001391,589
102,2020,2,R,전통시장,1001390,1614
103,2020,2,R,전통시장,1001389,71
104,2020,2,R,전통시장,1001388,197
105,2020,2,R,전통시장,1001387,17
106,2020,2,R,전통시장,1001386,45
107,2020,2,R,전통시장,1001385,310
108,2020,2,R,전통시장,1001384,7
109,2020,2,R,전통시장,1001383,10
110,2020,2,R,전통시장,1001382,143
111,2020,2,R,전통시장,1001381,309
112,2020,2,R,전통시장,1001380,498
113,2020,2,R,전통시장,1001379,273
114,2020,2,R,전통시장,1001378,117
115,2020,2,R,전통시장,1001377,362
116,2020,2,R,전통시장,1001376,108
117,2020,2,R,전통시장,1001375,156
118,2020,2,R,전통시장,1001374,568
119,2020,2,R,전통시장,1001373,198
120,2020,2,R,전통시장,1001372,20
121,2020,2,R,전통시장,1001371,500
122,2020,2,R,전통시장,1001370,9
123,2020,2,R,전통시장,1001369,187
124,2020,2,R,전통시장,1001368,243
125,2020,2,R,전통시장,1001367,1833
126,2020,2,R,전통시장,1001365,1498
127,2020,2,R,전통시장,1001364,1035
128,2020,2,R,전통시장,1001363,728
129,2020,2,R,전통시장,1001362,379
130,2020,2,R,전통시장,1001361,174
131,2020,2,R,전통시장,1001360,1212
132,2020,2,R,전통시장,1001359,2247
133,2020,2,R,전통시장,1001358,58
134,2020,2,R,전통시장,1001357,1482
135,2020,2,R,전통시장,1001356,42
136,2020,2,R,전통시장,1001355,764
137,2020,2,R,전통시장,1001354,1607
138,2020,2,R,전통시장,1001353,610
139,2020,2,R,전통시장,1001352,1136
140,2020,2,R,전통시장,1001351,145
141,2020,2,R,전통시장,1001350,235
142,2020,2,R,전통시장,1001349,1375
143,2020,2,R,전통시장,1001348,26
144,2020,2,R,전통시장,1001347,1807
145,2020,2,R,전통시장,1001346,157
146,2020,2,R,전통시장,1001345,73
147,2020,2,R,전통시장,1001344,22
148,2020,2,R,전통시장,1001343,853
149,2020,2,R,전통시장,1001342,228
150,2020,2,R,전통시장,1001341,30
151,2020,2,R,전통시장,1001340,1409
152,2020,2,R,전통시장,1001339,1061
153,2020,2,R,전통시장,1001338,200
154,2020,2,R,전통시장,1001337,109
155,2020,2,R,전통시장,1001336,2080
156,2020,2,R,전통시장,1001335,1454
157,2020,2,R,전통시장,1001334,934
158,2020,2,R,전통시장,1001333,1850
159,2020,2,R,전통시장,1001332,1871
160,2020,2,R,전통시장,1001331,1249
161,2020,2,R,전통시장,1001330,2009
162,2020,2,R,전통시장,1001329,1458
163,2020,2,R,전통시장,1001328,75
164,2020,2,R,전통시장,1001327,242
165,2020,2,R,전통시장,1001326,1231
166,2020,2,R,전통시장,1001325,59
167,2020,2,R,전통시장,1001324,228
168,2020,2,R,전통시장,1001323,442
169,2020,2,R,전통시장,1001321,295
170,2020,2,R,전통시장,1001320,93
171,2020,2,R,전통시장,1001319,93
172,2020,2,R,전통시장,1001318,166
173,2020,2,R,전통시장,1001317,171
174,2020,2,R,전통시장,1001316,2075
175,2020,2,R,전통시장,1001315,3
176,2020,2,R,전통시장,1001314,9
177,2020,2,R,전통시장,1001313,454
178,2020,2,R,전통시장,1001312,23
179,2020,2,R,전통시장,1001310,140
180,2020,2,R,전통시장,1001309,68
181,2020,2,R,전통시장,1001308,893
182,2020,2,R,전통시장,1001307,352
183,2020,2,R,전통시장,1001306,168
184,2020,2,R,전통시장,1001305,61
185,2020,2,R,전통시장,1001304,1953
186,2020,2,R,전통시장,1001303,88
187,2020,2,R,전통시장,1001302,447
188,2020,2,R,전통시장,1001301,793
189,2020,2,R,전통시장,1001300,935
190,2020,2,R,전통시장,1001299,17
191,2020,2,R,전통시장,1001298,1894
192,2020,2,R,전통시장,1001297,576
193,2020,2,R,전통시장,1001296,214
194,2020,2,R,전통시장,1001295,1536
195,2020,2,R,전통시장,1001294,320
196,2020,2,R,전통시장,1001293,4
197,2020,2,R,전통시장,1001292,42
198,2020,2,R,전통시장,1001291,65
199,2020,2,R,전통시장,1001290,101
200,2020,2,R,전통시장,1001289,396
201,2020,2,R,전통시장,1001288,31
202,2020,2,R,전통시장,1001287,87
203,2020,2,R,전통시장,1001286,284
204,2020,2,R,전통시장,1001285,90
205,2020,2,R,전통시장,1001284,994
206,2020,2,R,전통시장,1001283,818
207,2020,2,R,전통시장,1001282,918
208,2020,2,R,전통시장,1001281,1
209,2020,2,R,전통시장,1001279,56
210,2020,2,R,전통시장,1001277,290
211,2020,2,R,전통시장,1001276,4
212,2020,2,R,전통시장,1001275,151
213,2020,2,R,전통시장,1001274,277
214,2020,2,R,전통시장,1001273,72
215,2020,2,R,전통시장,1001272,10
216,2020,2,R,전통시장,1001271,739
217,2020,2,R,전통시장,1001270,345
218,2020,2,R,전통시장,1001269,67
219,2020,2,R,전통시장,1001268,150
220,2020,2,R,전통시장,1001267,109
221,2020,2,R,전통시장,1001266,2
222,2020,2,R,전통시장,1001265,63
223,2020,2,R,전통시장,1001264,663
224,2020,2,D,발달상권,1001263,257
225,2020,2,D,발달상권,1001262,17
226,2020,2,D,발달상권,1001261,676
227,2020,2,D,발달상권,1001260,446
228,2020,2,D,발달상권,1001259,743
229,2020,2,D,발달상권,1001258,185
230,2020,2,D,발달상권,1001257,2074
231,2020,2,D,발달상권,1001256,790
232,2020,2,D,발달상권,1001255,116
233,2020,2,D,발달상권,1001254,1021
234,2020,2,D,발달상권,1001253,203
235,2020,2,D,발달상권,1001252,911
236,2020,2,D,발달상권,1001251,355
237,2020,2,D,발달상권,1001250,784
238,2020,2,D,발달상권,1001249,731
239,2020,2,D,발달상권,1001248,536
240,2020,2,D,발달상권,1001247,86
241,2020,2,D,발달상권,1001246,890
242,2020,2,D,발달상권,1001245,1105
243,2020,2,D,발달상권,1001244,373
244,2020,2,D,발달상권,1001242,629
245,2020,2,D,발달상권,1001241,791
246,2020,2,D,발달상권,1001240,489
247,2020,2,D,발달상권,1001239,1416
248,2020,2,D,발달상권,1001238,2678
249,2020,2,D,발달상권,1001237,279
250,2020,2,D,발달상권,1001236,277
