,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총 상주인구 수
251,2020,2,D,발달상권,1001235,115
252,2020,2,D,발달상권,1001234,584
253,2020,2,D,발달상권,1001233,130
254,2020,2,D,발달상권,1001232,2101
255,2020,2,D,발달상권,1001231,420
256,2020,2,D,발달상권,1001230,797
257,2020,2,D,발달상권,1001229,276
258,2020,2,D,발달상권,1001228,736
259,2020,2,D,발달상권,1001227,608
260,2020,2,D,발달상권,1001226,2188
261,2020,2,D,발달상권,1001225,450
262,2020,2,D,발달상권,1001224,291
263,2020,2,D,발달상권,1001223,2941
264,2020,2,D,발달상권,1001222,833
265,2020,2,D,발달상권,1001221,4119
266,2020,2,D,발달상권,1001220,582
267,2020,2,D,발달상권,1001219,120
268,2020,2,D,발달상권,1001218,20
269,2020,2,D,발달상권,1001217,24
270,2020,2,D,발달상권,1001216,209
271,2020,2,D,발달상권,1001215,15
272,2020,2,D,발달상권,1001214,3
273,2020,2,D,발달상권,1001213,161
274,2020,2,D,발달상권,1001212,1449
275,2020,2,D,발달상권,1001211,21
276,2020,2,D,발달상권,1001210,1091
277,2020,2,D,발달상권,1001209,66
278,2020,2,D,발달상권,1001208,469
279,2020,2,D,발달상권,1001207,336
280,2020,2,D,발달상권,1001206,875
281,2020,2,D,발달상권,1001205,406
282,2020,2,D,발달상권,1001204,396
283,2020,2,D,발달상권,1001203,138
284,2020,2,D,발달상권,1001202,1
285,2020,2,D,발달상권,1001201,871
286,2020,2,D,발달상권,1001200,261
287,2020,2,D,발달상권,1001199,1378
288,2020,2,D,발달상권,1001198,2266
289,2020,2,D,발달상권,1001197,1390
290,2020,2,D,발달상권,1001196,323
291,2020,2,D,발달상권,1001195,633
292,2020,2,D,발달상권,1001194,104
293,2020,2,D,발달상권,1001193,227
294,2020,2,D,발달상권,1001192,787
295,2020,2,D,발달상권,1001191,1
296,2020,2,D,발달상권,1001190,1450
297,2020,2,D,발달상권,1001189,1251
298,2020,2,D,발달상권,1001188,306
299,2020,2,D,발달상권,1001187,1011
300,2020,2,D,발달상권,1001186,1962
301,2020,2,D,발달상권,1001185,2661
302,2020,2,D,발달상권,1001184,153
303,2020,2,D,발달상권,1001183,395
304,2020,2,D,발달상권,1001182,3885
305,2020,2,D,발달상권,1001181,1755
306,2020,2,D,발달상권,1001180,938
307,2020,2,D,발달상권,1001179,3194
308,2020,2,D,발달상권,1001178,496
309,2020,2,D,발달상권,1001177,52
310,2020,2,D,발달상권,1001176,6
311,2020,2,D,발달상권,1001175,2863
312,2020,2,D,발달상권,1001174,1309
313,2020,2,D,발달상권,1001173,1943
314,2020,2,D,발달상권,1001172,823
315,2020,2,D,발달상권,1001171,16
316,2020,2,D,발달상권,1001170,346
317,2020,2,D,발달상권,1001169,496
318,2020,2,D,발달상권,1001168,243
319,2020,2,D,발달상권,1001167,484
320,2020,2,D,발달상권,1001166,2945
321,2020,2,D,발달상권,1001165,2003
322,2020,2,D,발달상권,1001164,690
323,2020,2,D,발달상권,1001163,4782
324,2020,2,D,발달상권,1001162,933
325,2020,2,D,발달상권,1001161,525
326,2020,2,D,발달상권,1001160,1865
327,2020,2,D,발달상권,1001159,282
328,2020,2,D,발달상권,1001158,712
329,2020,2,D,발달상권,1001157,279
330,2020,2,D,발달상권,1001156,3407
331,2020,2,D,발달상권,1001155,624
332,2020,2,D,발달상권,1001154,332
333,2020,2,D,발달상권,1001153,1051
334,2020,2,D,발달상권,1001152,198
335,2020,2,D,발달상권,1001151,251
336,2020,2,D,발달상권,1001150,797
337,2020,2,D,발달상권,1001149,147
338,2020,2,D,발달상권,1001148,83
339,2020,2,D,발달상권,1001147,177
340,2020,2,D,발달상권,1001146,121
341,2020,2,D,발달상권,1001145,1472
342,2020,2,D,발달상권,1001144,800
343,2020,2,D,발달상권,1001143,371
344,2020,2,D,발달상권,1001142,215
345,2020,2,D,발달상권,1001141,1270
346,2020,2,D,발달상권,1001140,1825
347,2020,2,D,발달상권,1001139,1291
348,2020,2,D,발달상권,1001138,612
349,2020,2,D,발달상권,1001137,770
350,2020,2,D,발달상권,1001136,860
351,2020,2,D,발달상권,1001135,3791
352,2020,2,D,발달상권,1001134,18
353,2020,2,D,발달상권,1001133,917
354,2020,2,D,발달상권,1001132,515
355,2020,2,D,발달상권,1001131,1126
356,2020,2,D,발달상권,1001130,197
357,2020,2,D,발달상권,1001129,367
358,2020,2,D,발달상권,1001128,266
359,2020,2,D,발달상권,1001127,2565
360,2020,2,D,발달상권,1001126,241
361,2020,2,D,발달상권,1001125,427
362,2020,2,D,발달상권,1001124,1742
363,2020,2,D,발달상권,1001123,424
364,2020,2,D,발달상권,1001122,1441
365,2020,2,D,발달상권,1001121,456
366,2020,2,D,발달상권,1001120,374
367,2020,2,D,발달상권,1001119,816
368,2020,2,D,발달상권,1001118,1475
369,2020,2,D,발달상권,1001117,929
370,2020,2,D,발달상권,1001116,438
371,2020,2,D,발달상권,1001115,780
372,2020,2,D,발달상권,1001114,794
373,2020,2,D,발달상권,1001113,14
374,2020,2,D,발달상권,1001112,106
375,2020,2,D,발달상권,1001111,509
376,2020,2,D,발달상권,1001110,2461
377,2020,2,D,발달상권,1001109,1848
378,2020,2,D,발달상권,1001108,485
379,2020,2,D,발달상권,1001107,1428
380,2020,2,D,발달상권,1001106,148
381,2020,2,D,발달상권,1001105,1255
382,2020,2,D,발달상권,1001104,76
383,2020,2,D,발달상권,1001103,24
384,2020,2,D,발달상권,1001102,877
385,2020,2,D,발달상권,1001101,3054
386,2020,2,D,발달상권,1001100,68
387,2020,2,D,발달상권,1001099,679
388,2020,2,D,발달상권,1001098,2126
389,2020,2,D,발달상권,1001096,5094
390,2020,2,D,발달상권,1001095,3912
391,2020,2,D,발달상권,1001094,644
392,2020,2,D,발달상권,1001093,3124
393,2020,2,D,발달상권,1001092,1934
394,2020,2,D,발달상권,1001091,5
395,2020,2,D,발달상권,1001090,595
396,2020,2,D,발달상권,1001089,80
397,2020,2,D,발달상권,1001088,1547
398,2020,2,D,발달상권,1001087,2149
399,2020,2,D,발달상권,1001086,2
400,2020,2,D,발달상권,1001085,3191
401,2020,2,D,발달상권,1001084,663
402,2020,2,D,발달상권,1001083,571
403,2020,2,D,발달상권,1001082,4194
404,2020,2,D,발달상권,1001081,1089
405,2020,2,D,발달상권,1001080,191
406,2020,2,D,발달상권,1001079,3
407,2020,2,D,발달상권,1001078,2804
408,2020,2,D,발달상권,1001077,1393
409,2020,2,D,발달상권,1001076,667
410,2020,2,D,발달상권,1001075,398
411,2020,2,D,발달상권,1001074,2660
412,2020,2,D,발달상권,1001073,5614
413,2020,2,D,발달상권,1001072,1194
414,2020,2,D,발달상권,1001071,2019
415,2020,2,D,발달상권,1001070,355
416,2020,2,D,발달상권,1001069,283
417,2020,2,D,발달상권,1001068,15
418,2020,2,D,발달상권,1001067,4454
419,2020,2,D,발달상권,1001066,2502
420,2020,2,D,발달상권,1001065,88
421,2020,2,D,발달상권,1001064,1862
422,2020,2,D,발달상권,1001063,1427
423,2020,2,D,발달상권,1001062,3386
424,2020,2,D,발달상권,1001061,2628
425,2020,2,D,발달상권,1001059,23
426,2020,2,D,발달상권,1001058,2799
427,2020,2,D,발달상권,1001057,1739
428,2020,2,D,발달상권,1001056,524
429,2020,2,D,발달상권,1001055,53
430,2020,2,D,발달상권,1001054,614
431,2020,2,D,발달상권,1001053,513
432,2020,2,D,발달상권,1001052,2352
433,2020,2,D,발달상권,1001051,5055
434,2020,2,D,발달상권,1001050,2605
435,2020,2,D,발달상권,1001049,2624
436,2020,2,D,발달상권,1001048,1913
437,2020,2,D,발달상권,1001047,1035
438,2020,2,D,발달상권,1001046,3164
439,2020,2,D,발달상권,1001045,1141
440,2020,2,D,발달상권,1001044,1816
441,2020,2,D,발달상권,1001043,2035
442,2020,2,D,발달상권,1001042,479
443,2020,2,D,발달상권,1001041,1471
444,2020,2,D,발달상권,1001040,1371
445,2020,2,D,발달상권,1001039,2229
446,2020,2,D,발달상권,1001038,121
447,2020,2,D,발달상권,1001037,1701
448,2020,2,D,발달상권,1001036,399
449,2020,2,D,발달상권,1001035,549
450,2020,2,D,발달상권,1001034,1170
451,2020,2,D,발달상권,1001033,1197
452,2020,2,D,발달상권,1001032,1652
453,2020,2,D,발달상권,1001031,789
454,2020,2,D,발달상권,1001030,865
455,2020,2,D,발달상권,1001029,10
456,2020,2,D,발달상권,1001028,577
457,2020,2,D,발달상권,1001027,1877
458,2020,2,D,발달상권,1001026,336
459,2020,2,D,발달상권,1001025,7167
460,2020,2,D,발달상권,1001024,932
461,2020,2,D,발달상권,1001023,667
462,2020,2,D,발달상권,1001022,931
463,2020,2,D,발달상권,1001021,28
464,2020,2,D,발달상권,1001019,96
465,2020,2,D,발달상권,1001018,1842
466,2020,2,D,발달상권,1001017,303
467,2020,2,D,발달상권,1001016,1711
468,2020,2,D,발달상권,1001015,1193
469,2020,2,D,발달상권,1001013,1625
470,2020,2,D,발달상권,1001012,1
471,2020,2,D,발달상권,1001011,1737
472,2020,2,A,골목상권,1001010,3037
473,2020,2,A,골목상권,1001009,3688
474,2020,2,A,골목상권,1001008,2360
475,2020,2,A,골목상권,1001007,2044
476,2020,2,A,골목상권,1001006,4159
477,2020,2,A,골목상권,1001005,2673
478,2020,2,A,골목상권,1001004,4148
479,2020,2,A,골목상권,1001003,2680
480,2020,2,A,골목상권,1001002,4396
481,2020,2,A,골목상권,1001001,6514
482,2020,2,A,골목상권,1001000,1706
483,2020,2,A,골목상권,1000999,7642
484,2020,2,A,골목상권,1000998,3195
485,2020,2,A,골목상권,1000997,2203
486,2020,2,A,골목상권,1000996,1623
487,2020,2,A,골목상권,1000995,2639
488,2020,2,A,골목상권,1000994,2458
489,2020,2,A,골목상권,1000993,1515
490,2020,2,A,골목상권,1000992,3495
491,2020,2,A,골목상권,1000991,3687
492,2020,2,A,골목상권,1000990,4071
493,2020,2,A,골목상권,1000989,4711
494,2020,2,A,골목상권,1000988,4284
495,2020,2,A,골목상권,1000987,1444
496,2020,2,A,골목상권,1000986,4752
497,2020,2,A,골목상권,1000985,6882
498,2020,2,A,골목상권,1000984,4480
499,2020,2,A,골목상권,1000983,3531
500,2020,2,A,골목상권,1000982,1201
501,2020,2,A,골목상권,1000981,1903
502,2020,2,A,골목상권,1000980,2895
503,2020,2,A,골목상권,1000979,3136
504,2020,2,A,골목상권,1000978,3856
505,2020,2,A,골목상권,1000977,2723
506,2020,2,A,골목상권,1000976,2759
507,2020,2,A,골목상권,1000975,1560
508,2020,2,A,골목상권,1000974,2359
509,2020,2,A,골목상권,1000973,4180
510,2020,2,A,골목상권,1000972,5239
511,2020,2,A,골목상권,1000971,2542
512,2020,2,A,골목상권,1000970,1553
513,2020,2,A,골목상권,1000969,1493
514,2020,2,A,골목상권,1000968,2081
515,2020,2,A,골목상권,1000967,4005
516,2020,2,A,골목상권,1000966,1842
517,2020,2,A,골목상권,1000965,2732
518,2020,2,A,골목상권,1000964,3007
519,2020,2,A,골목상권,1000963,4635
520,2020,2,A,골목상권,1000962,2609
521,2020,2,A,골목상권,1000961,1532
522,2020,2,A,골목상권,1000960,2667
523,2020,2,A,골목상권,1000959,1499
524,2020,2,A,골목상권,1000958,2573
525,2020,2,A,골목상권,1000957,3357
526,2020,2,A,골목상권,1000956,5222
527,2020,2,A,골목상권,1000955,4714
528,2020,2,A,골목상권,1000954,6507
529,2020,2,A,골목상권,1000953,8390
530,2020,2,A,골목상권,1000952,3232
531,2020,2,A,골목상권,1000951,4552
532,2020,2,A,골목상권,1000950,4079
533,2020,2,A,골목상권,1000949,3366
534,2020,2,A,골목상권,1000948,7714
535,2020,2,A,골목상권,1000947,6125
536,2020,2,A,골목상권,1000946,6250
537,2020,2,A,골목상권,1000945,6177
538,2020,2,A,골목상권,1000944,6718
539,2020,2,A,골목상권,1000943,2451
540,2020,2,A,골목상권,1000942,3820
541,2020,2,A,골목상권,1000941,2967
542,2020,2,A,골목상권,1000940,3206
543,2020,2,A,골목상권,1000939,2516
544,2020,2,A,골목상권,1000938,1601
545,2020,2,A,골목상권,1000937,1026
546,2020,2,A,골목상권,1000936,1459
547,2020,2,A,골목상권,1000935,407
548,2020,2,A,골목상권,1000934,3267
549,2020,2,A,골목상권,1000933,2324
550,2020,2,A,골목상권,1000932,1408
551,2020,2,A,골목상권,1000931,2640
552,2020,2,A,골목상권,1000930,3454
553,2020,2,A,골목상권,1000929,996
554,2020,2,A,골목상권,1000928,1623
555,2020,2,A,골목상권,1000927,1996
556,2020,2,A,골목상권,1000926,1542
557,2020,2,A,골목상권,1000925,2024
558,2020,2,A,골목상권,1000924,835
559,2020,2,A,골목상권,1000923,2504
560,2020,2,A,골목상권,1000922,3340
561,2020,2,A,골목상권,1000921,2621
562,2020,2,A,골목상권,1000920,4254
563,2020,2,A,골목상권,1000919,1716
564,2020,2,A,골목상권,1000918,1262
565,2020,2,A,골목상권,1000917,2804
566,2020,2,A,골목상권,1000916,1513
567,2020,2,A,골목상권,1000915,1594
568,2020,2,A,골목상권,1000914,3242
569,2020,2,A,골목상권,1000913,1251
570,2020,2,A,골목상권,1000912,2224
571,2020,2,A,골목상권,1000911,1944
572,2020,2,A,골목상권,1000910,896
573,2020,2,A,골목상권,1000909,2223
574,2020,2,A,골목상권,1000908,983
575,2020,2,A,골목상권,1000907,886
576,2020,2,A,골목상권,1000906,1501
577,2020,2,A,골목상권,1000905,655
578,2020,2,A,골목상권,1000904,5822
579,2020,2,A,골목상권,1000903,3508
580,2020,2,A,골목상권,1000902,2655
581,2020,2,A,골목상권,1000901,74
582,2020,2,A,골목상권,1000900,1220
583,2020,2,A,골목상권,1000899,400
584,2020,2,A,골목상권,1000898,1335
585,2020,2,A,골목상권,1000897,2048
586,2020,2,A,골목상권,1000896,3252
587,2020,2,A,골목상권,1000895,1559
588,2020,2,A,골목상권,1000894,2094
589,2020,2,A,골목상권,1000893,2864
590,2020,2,A,골목상권,1000892,101
591,2020,2,A,골목상권,1000891,2067
592,2020,2,A,골목상권,1000890,2353
593,2020,2,A,골목상권,1000889,3624
594,2020,2,A,골목상권,1000888,1832
595,2020,2,A,골목상권,1000887,1217
596,2020,2,A,골목상권,1000886,1405
597,2020,2,A,골목상권,1000885,2670
598,2020,2,A,골목상권,1000884,2792
599,2020,2,A,골목상권,1000883,2201
600,2020,2,A,골목상권,1000882,1550
601,2020,2,A,골목상권,1000881,1883
602,2020,2,A,골목상권,1000880,4680
603,2020,2,A,골목상권,1000879,3837
604,2020,2,A,골목상권,1000878,3928
605,2020,2,A,골목상권,1000877,2741
606,2020,2,A,골목상권,1000876,2027
607,2020,2,A,골목상권,1000875,2532
608,2020,2,A,골목상권,1000874,163
609,2020,2,A,골목상권,1000873,1800
610,2020,2,A,골목상권,1000872,3385
611,2020,2,A,골목상권,1000871,1206
612,2020,2,A,골목상권,1000870,2266
613,2020,2,A,골목상권,1000869,2087
614,2020,2,A,골목상권,1000868,1159
615,2020,2,A,골목상권,1000867,187
616,2020,2,A,골목상권,1000866,1556
617,2020,2,A,골목상권,1000865,1059
618,2020,2,A,골목상권,1000864,993
619,2020,2,A,골목상권,1000863,1439
620,2020,2,A,골목상권,1000862,1666
621,2020,2,A,골목상권,1000861,1502
622,2020,2,A,골목상권,1000860,2773
623,2020,2,A,골목상권,1000859,1469
624,2020,2,A,골목상권,1000858,1209
625,2020,2,A,골목상권,1000857,1980
626,2020,2,A,골목상권,1000856,3259
627,2020,2,A,골목상권,1000855,1713
628,2020,2,A,골목상권,1000854,3354
629,2020,2,A,골목상권,1000853,1352
630,2020,2,A,골목상권,1000852,1740
631,2020,2,A,골목상권,1000851,3092
632,2020,2,A,골목상권,1000850,1518
633,2020,2,A,골목상권,1000849,2415
634,2020,2,A,골목상권,1000848,1689
635,2020,2,A,골목상권,1000847,1948
636,2020,2,A,골목상권,1000846,3544
637,2020,2,A,골목상권,1000845,2627
638,2020,2,A,골목상권,1000844,1038
639,2020,2,A,골목상권,1000843,683
640,2020,2,A,골목상권,1000842,1297
641,2020,2,A,골목상권,1000841,1721
642,2020,2,A,골목상권,1000840,1508
643,2020,2,A,골목상권,1000839,2774
644,2020,2,A,골목상권,1000838,2909
645,2020,2,A,골목상권,1000837,4856
646,2020,2,A,골목상권,1000836,3282
647,2020,2,A,골목상권,1000835,4051
648,2020,2,A,골목상권,1000834,3495
649,2020,2,A,골목상권,1000833,1957
650,2020,2,A,골목상권,1000832,3245
651,2020,2,A,골목상권,1000831,4273
652,2020,2,A,골목상권,1000830,1941
653,2020,2,A,골목상권,1000829,1693
654,2020,2,A,골목상권,1000828,1840
655,2020,2,A,골목상권,1000827,835
656,2020,2,A,골목상권,1000826,2890
657,2020,2,A,골목상권,1000825,1382
658,2020,2,A,골목상권,1000824,4480
659,2020,2,A,골목상권,1000823,2726
660,2020,2,A,골목상권,1000822,1882
661,2020,2,A,골목상권,1000821,2021
662,2020,2,A,골목상권,1000820,1672
663,2020,2,A,골목상권,1000819,2514
664,2020,2,A,골목상권,1000818,3866
665,2020,2,A,골목상권,1000817,2951
666,2020,2,A,골목상권,1000816,4554
667,2020,2,A,골목상권,1000815,4331
668,2020,2,A,골목상권,1000814,3100
669,2020,2,A,골목상권,1000813,3996
670,2020,2,A,골목상권,1000812,4033
671,2020,2,A,골목상권,1000811,3806
672,2020,2,A,골목상권,1000810,3919
673,2020,2,A,골목상권,1000809,1374
674,2020,2,A,골목상권,1000808,5050
675,2020,2,A,골목상권,1000807,4604
676,2020,2,A,골목상권,1000806,1780
